minFingers,maxFingers,startAngle,endAngle,startxvel,endxvel
1,1,  91.52,  81.00,  0.243,  0.000
1,1,  80.32,  90.00, -0.053,  0.000
1,1,  90.00,  86.34,  0.025,  0.000
